filename,TYPE,Lmax,STATUS,TIME (s)
10_05_025_125_50_1.GSP,S,23,FINISHED,0.13
20_05_025_125_50_1.GSP,S,43,FINISHED,0.24
30_05_025_125_50_1.GSP,S,94,FINISHED,5.58
40_05_025_125_50_1.GSP,S,85,FINISHED,1.64
50_05_025_125_50_1.GSP,S,124,FINISHED,20.74
10_05_025_125_50_1.GSP,L,214,FINISHED,0.53
20_05_025_125_50_1.GSP,L,417,FINISHED,4.15
30_05_025_125_50_1.GSP,L,759,FINISHED,25.26
40_05_025_125_50_1.GSP,L,1051,TIMEOUT,600.02
50_05_025_125_50_1.GSP,L,1126,TIMEOUT,600.01
