filename,OPT VALUE,STATUS,TIME (s)
10_05_025_125_50_1.GSP,23,FINISHED,1.13
20_05_025_125_50_1.GSP,43,FINISHED,0.91
30_05_025_125_50_1.GSP,94,FINISHED,600.11
40_05_025_125_50_1.GSP,85,FINISHED,600.08
50_05_025_125_50_1.GSP,124,FINISHED,599.73
10_05_025_125_50_1.GSP,214,FINISHED,0.95
20_05_025_125_50_1.GSP,417,FINISHED,5.82
30_05_025_125_50_1.GSP,759,FINISHED,599.05
40_05_025_125_50_1.GSP,1051,FINISHED,599.56
50_05_025_125_50_1.GSP,1126,FINISHED,599.52
