filename,SAT,STATUS,TIME (s)
20_05_005_100_25_1.GSP,55,FINISHED,0.13
20_05_005_100_50_1.GSP,54,FINISHED,0.12
20_05_005_100_75_1.GSP,63,FINISHED,0.11
20_05_005_125_25_1.GSP,60,FINISHED,0.33
20_05_005_125_50_1.GSP,65,FINISHED,0.13
20_05_005_125_75_1.GSP,83,FINISHED,0.12
20_05_025_100_25_1.GSP,43,FINISHED,0.21
20_05_025_100_50_1.GSP,63,FINISHED,0.16
20_05_025_100_75_1.GSP,83,FINISHED,0.15
20_05_025_125_25_1.GSP,41,FINISHED,0.19
20_05_025_125_50_1.GSP,43,FINISHED,0.15
20_05_025_125_75_1.GSP,45,FINISHED,0.14
20_05_050_100_25_1.GSP,21,FINISHED,0.13
20_05_050_100_50_1.GSP,38,FINISHED,0.13
20_05_050_100_75_1.GSP,49,FINISHED,0.12
20_05_050_125_25_1.GSP,37,FINISHED,0.2
20_05_050_125_50_1.GSP,36,FINISHED,0.16
20_05_050_125_75_1.GSP,55,FINISHED,0.15
20_10_005_100_25_1.GSP,12,FINISHED,0.13
20_10_005_100_50_1.GSP,24,FINISHED,0.13
20_10_005_100_75_1.GSP,42,FINISHED,0.1
20_10_005_125_25_1.GSP,58,FINISHED,0.12
20_10_005_125_50_1.GSP,40,FINISHED,0.12
20_10_005_125_75_1.GSP,45,FINISHED,0.11
20_10_025_100_25_1.GSP,2,FINISHED,0.16
20_10_025_100_50_1.GSP,3,FINISHED,0.14
20_10_025_100_75_1.GSP,4,FINISHED,0.13
20_10_025_125_25_1.GSP,1,FINISHED,0.13
20_10_025_125_50_1.GSP,15,FINISHED,0.12
20_10_025_125_75_1.GSP,30,FINISHED,0.11
20_10_050_100_25_1.GSP,13,FINISHED,0.14
20_10_050_100_50_1.GSP,42,FINISHED,0.14
20_10_050_100_75_1.GSP,27,FINISHED,0.14
20_10_050_125_25_1.GSP,19,FINISHED,0.13
20_10_050_125_50_1.GSP,41,FINISHED,0.11
20_10_050_125_75_1.GSP,47,FINISHED,0.11
