filename,SAT,STATUS,TIME (s)
30_05_005_100_25_1.GSP,89,FINISHED,5.61
30_05_005_100_50_1.GSP,89,FINISHED,0.59
30_05_005_100_75_1.GSP,94,FINISHED,0.22
30_05_005_125_25_1.GSP,88,FINISHED,17.04
30_05_005_125_50_1.GSP,88,FINISHED,1.26
30_05_005_125_75_1.GSP,92,FINISHED,0.29
30_05_025_100_25_1.GSP,52,FINISHED,1.85
30_05_025_100_50_1.GSP,64,FINISHED,0.26
30_05_025_100_75_1.GSP,77,FINISHED,0.25
30_05_025_125_25_1.GSP,92,FINISHED,179.7
30_05_025_125_50_1.GSP,94,FINISHED,5.14
30_05_025_125_75_1.GSP,112,FINISHED,0.44
30_05_050_100_25_1.GSP,36,FINISHED,0.84
30_05_050_100_50_1.GSP,56,FINISHED,0.32
30_05_050_100_75_1.GSP,63,FINISHED,0.28
30_05_050_125_25_1.GSP,49,FINISHED,0.77
30_05_050_125_50_1.GSP,81,FINISHED,0.8
30_05_050_125_75_1.GSP,86,FINISHED,0.31
30_10_005_100_25_1.GSP,94,FINISHED,0.13
30_10_005_100_50_1.GSP,74,FINISHED,0.14
30_10_005_100_75_1.GSP,112,FINISHED,0.13
30_10_005_125_25_1.GSP,42,FINISHED,0.28
30_10_005_125_50_1.GSP,64,FINISHED,0.19
30_10_005_125_75_1.GSP,75,FINISHED,0.14
30_10_025_100_25_1.GSP,2,FINISHED,0.21
30_10_025_100_50_1.GSP,17,FINISHED,0.18
30_10_025_100_75_1.GSP,32,FINISHED,0.14
30_10_025_125_25_1.GSP,102,FINISHED,0.21
30_10_025_125_50_1.GSP,107,FINISHED,0.19
30_10_025_125_75_1.GSP,109,FINISHED,0.2
30_10_050_100_25_1.GSP,3,FINISHED,0.21
30_10_050_100_50_1.GSP,0,FINISHED,0.23
30_10_050_100_75_1.GSP,1,FINISHED,0.22
30_10_050_125_25_1.GSP,0,FINISHED,0.31
30_10_050_125_50_1.GSP,0,FINISHED,0.25
30_10_050_125_75_1.GSP,9,FINISHED,0.23
