filename,SAT,STATUS,TIME (s)
30_00_005_100_25_1.GSP,148,FINISHED,117.41
30_00_005_100_50_1.GSP,148,FINISHED,7.53
30_00_005_100_75_1.GSP,148,FINISHED,0.42
30_00_005_125_25_1.GSP,-,UNSAT,0.15
30_00_005_125_50_1.GSP,-,UNSAT,0.12
30_00_005_125_75_1.GSP,-,UNSAT,0.12
